JOUR POPU MORTS SANTE MALADES MAX
   1  300     0   299       1   1
   2  300     0   298       2   2
   3  300     0   297       3   3
   4  300     0   295       5   5
   5  300     0   295       5   5
   6  300     0   294       6   6
   7  300     0   291       9   9
   8  300     0   289      11  11
   9  300     0   285      15  15
  10  300     0   282      18  18
  11  300     0   274      26  26
  12  300     0   261      39  39
  13  300     0   248      52  52
  14  300     0   229      71  71
  15  300     0   201      99  99
  16  300     0   159     141 141
  17  300     0   130     170 170
  18  300     0   103     197 197
  19  300     0    84     216 216
  20  300     0    62     238 238
  21  300     0    46     254 254
  22  300     0    38     262 262
  23  300     0    32     268 268
  24  300     0    27     273 274
  25  300     0    20     280 281
  26  300     0    24     276 281
  27  300     0    35     265 281
  28  300     0    43     257 281
  29  299     1    51     248 281
  30  297     3    68     229 281
  31  293     7    88     205 281
  32  293     7   109     184 281
  33  293     7   124     169 281
  34  292     8   121     171 281
  35  291     9   129     162 281
  36  289    11   122     167 281
  37  289    11   122     167 281
  38  289    11   117     172 281
  39  289    11   115     174 281
  40  287    13   103     184 281
  41  287    13   101     186 281
  42  287    13    90     197 281
  43  287    13    90     197 281
  44  286    14    93     193 281
  45  286    14    96     190 281
  46  286    14   103     183 281
  47  286    14    97     189 281
  48  285    15    95     190 281
  49  285    15   106     179 281
  50  285    15   114     171 281
  51  284    16   126     158 281
  52  284    16   136     148 281
  53  284    16   142     142 281
  54  284    16   148     136 281
  55  284    16   161     123 281
  56  284    16   161     123 281
  57  284    16   169     115 281
  58  284    16   172     112 281
  59  284    16   174     110 281
  60  284    16   179     105 281
  61  283    17   183     100 281
  62  282    18   192      90 281
  63  282    18   201      81 281
  64  282    18   210      72 281
  65  282    18   210      72 281
  66  282    18   217      65 281
  67  282    18   214      68 281
  68  282    18   216      66 281
  69  282    18   220      62 281
  70  282    18   222      60 281
  71  282    18   224      58 281
  72  282    18   227      55 281
  73  282    18   229      53 281
  74  282    18   228      54 281
  75  282    18   228      54 281
  76  282    18   230      52 281
  77  281    19   231      50 281
  78  281    19   236      45 281
  79  281    19   234      47 281
  80  281    19   236      45 281
  81  281    19   235      46 281
  82  281    19   238      43 281
  83  281    19   240      41 281
  84  281    19   240      41 281
  85  281    19   243      38 281
  86  281    19   246      35 281
  87  281    19   246      35 281
  88  281    19   246      35 281
  89  281    19   250      31 281
  90  281    19   251      30 281
  91  281    19   253      28 281
  92  281    19   254      27 281
  93  281    19   253      28 281
  94  281    19   256      25 281
  95  281    19   260      21 281
  96  281    19   261      20 281
  97  281    19   263      18 281
  98  281    19   263      18 281
  99  281    19   265      16 281
 100  280    20   265      15 281

NB. MOYEN d'INFECTIONS: 5.01 (Max. 8, Jamais_infectées = 1)
